"cripple","n.v.残疾，跛子，致残，严重毁坏
he accident ~ed him for life.
The general strike of the railway workers ~ the country's economy."
"acronym","n.首字母缩写"
"imperialism","n.帝国主义"
"reluctant","a.不情愿，勉强的
I am ~ about asking him to do this."
"sludge sludgy","n.油泥，下水道的污泥"
"soak up","吸收
The ground ~ the rain.
Don't ~ everything uncritically."
"dent","n.凹陷v.使凹陷，凹陷
There was a large ~ in the passenger door.
No one was injured, but the car was scratched and ~ed."
"symbiosis","n.共生，互利"
"tinker","vi.小的修理n.补壶工
~ with / ~ around with"
"fledgling","n.幼鸟，无经验的人"
"revere","vt.崇敬, 尊崇, 敬畏
Mandela is ~ed as one of the great leaders in our time."
"compel","vt.强迫
The law will ~ employers to provide health insurance.
Shel felt ~led to resign because of the scandal."
"compelling","a.有说服力的，引人入胜的，不可抗拒的
His wife makes a ~ story.
The court was presented with ~ evidence that she'd murdered her husband.
He felt a ~ need to tell someone about his idea."
"smother","vt.使窒息，覆盖，忍住
Don't put that cloth over the baby's face, you'll ~ him!
In autumn the grass is ~ed with leaves.
I just managed to ~ a yawn."
"appallingly","ad.令人毛骨悚然的"
"authoritarian","a.n.集权主义的，转制的，独裁者"
"sacred","a.神圣的，宗教的
A church is a ~ building."
"sap","n.傻瓜vt.逐渐削弱，消耗
Lack of planning is ~ing the company’s efficiency.
Her long illness gradually ~ed her strength."
"inclination","n.意向，倾向，趋势
My natural ~ is to say no.
Teachers simply don't have the time or ~ to investigate these matters.
She's troubled by her son's ~ toward atheism."
"atheism","n.无神论"
"imitate","vt.模仿，效仿
She was a splendid mimic and loved to ~ Winston Churchill.
vegetarian products which ~ meat
The Japanese have no wish to ~ Western social customs and attitudes."
"slammer","n.监狱
He had to spend his twentith birthday in the ~."
"no end","非常，很多
Your latest book amused me ~."
"kindred","n.亲戚关系
He claims ~ with royalty."
"bonsai","n.〈日〉盆景"
"patronage","n.支持，赞助，资助，光顾，惠顾"
"drudgery","n.辛苦的工作，沉闷的工作"
"drudge","n.苦工，劳役"
"hunch","n.预感，直觉v.隆起
I had a ~ that something like this would happen.
He had to ~ over the steering wheel to see anying."
"hunchback","n.驼背"
"competence","n.技能，能力
We knew her ~ in solving problems."
"insulate","vt.使绝缘，使隔离
Pipe may need ~ing against the cold.
The royal family tried to ~ him from prying eyes of media."
"pry","vi.打听，刺探
She is always ~ing into other people's affairs."
"insidious","a.隐伏的，潜在的，暗中的
an ~ trend towards censorship of the press"
"judicious","n.明智的，谨慎的
a ~ choice"
"overreliance","n.过分信赖"
"trickery","n.哄骗，耍花招"
"deception","n.诡计，骗局，欺骗"
"ancestry","n.祖先，世系
Helen's family can trace their ~ back to the 1700s."
"immaterial","a.不相干，不重要
When it happened is ~."
"immensely","ad.非常"
"prudent","a.审慎的，有先见之明的
It might be ~ to get a virus detector for the network."
"bog down","陷入困境，停顿
Don't let yourself get ~ed in minor details."
"irritation","n.激怒，恼怒
The doctor's ~ at being interrupted showed.
The heavy traffic is a constant source of ~."
"thorny","a.棘手的，难以处理的
the ~ question of immigration policy"
"unworkable","a.不能实行的，难以运转的"
